100000;0.392;0.387
200000;0.499;0.501
300000;0.606;0.603
400000;0.709;0.711
500000;0.81;0.805
600000;0.906;0.903
700000;1.004;1.005
800000;1.094;1.098
900000;1.191;1.19
1000000;1.285;1.292
1100000;1.401;1.383
1200000;1.477;1.473
1300000;1.573;1.588
1400000;1.664;1.675
1500000;1.76;1.77
1600000;1.883;1.963
1700000;1.968;2.11
1800000;2.035;2.035
1900000;2.144;2.206
2000000;2.218;2.22
2100000;2.323;2.314
2200000;2.405;2.402
2300000;2.488;2.518
2400000;2.585;2.589
2500000;2.677;2.683
2600000;2.768;2.768
2700000;2.861;2.866
2800000;2.961;2.958
2900000;3.05;3.057
3000000;3.134;3.14
3100000;3.232;3.233
3200000;3.317;3.323
3300000;3.425;3.414
3400000;3.614;3.68
3500000;3.615;3.6
3600000;3.688;3.695
3700000;3.821;3.796
3800000;3.874;3.873
3900000;3.97;3.966
4000000;4.056;4.057
4100000;4.148;4.149
4200000;4.246;4.252
4300000;4.339;4.335
4400000;4.422;4.419
4500000;4.523;4.524
4600000;4.604;4.608
4700000;4.697;4.698
4800000;4.793;4.796
4900000;4.886;4.884
5000000;4.975;5.099
5100000;5.067;5.068
5200000;5.178;5.164
5300000;5.292;5.253
5400000;5.338;5.342
5500000;5.439;5.436
5600000;5.522;5.527
5700000;5.618;5.623
5800000;5.709;5.711
5900000;5.805;5.804
6000000;5.897;5.905
6100000;5.977;5.985
6200000;6.075;6.083
6300000;6.173;6.183
6400000;6.258;6.259
6500000;6.353;6.355
6600000;6.446;6.447
6700000;6.54;6.549
6800000;6.625;6.715
6900000;6.726;6.722
7000000;6.826;6.812
7100000;6.908;6.908
7200000;6.993;6.993
7300000;7.107;7.113
7400000;7.212;7.267
7500000;7.287;7.287
7600000;7.392;7.399
7700000;7.479;7.473
7800000;7.571;7.617
7900000;7.648;7.636
8000000;7.731;7.733
8100000;7.843;7.852
8200000;7.915;7.912
8300000;8.005;8.003
8400000;8.093;8.127
8500000;8.24;8.313
8600000;8.287;8.326
8700000;8.374;8.365
8800000;8.469;8.468
8900000;8.564;8.553
9000000;8.643;8.645
9100000;8.739;8.732
9200000;8.83;8.822
9300000;8.924;8.95
9400000;9.005;9.008
9500000;9.103;9.112
9600000;9.196;9.193
9700000;9.3;9.283
9800000;9.376;9.379
9900000;9.467;9.477
10000000;9.566;9.57
